Business Name,Phone,Category,Location,Logo,Services,Main Colors
Des Moines Plumbing,(515) 346-6891,Plumber,"3419 1st St #7, Des Moines, IA 50313",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tc4mipmA4_gSCkCgVGP0jQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=106.58672&pitch=0&thumbfov=100,"Plumber, Plumbing supply store, Water damage restoration service","#5B5B5B, #293028, #F6F5F6"
Bob's Sewerooter Services,(515) 262-6520,Plumber,"4677 NE 38th St, Des Moines, IA 50317",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxBVmwh8vTWO2ozcYUQOGp-cy2eRlVoLaP6wUgqojux_veZQkFoaXlOdrcscdRTG2j44452M_h1PvUb2A2qSJvAZ9A1Y2PVLAwtlqyAxiNKpQQBURdefd31FedB0D08CiCR9b9=w426-h240-k-no,Plumber,"#242420, #EAE4DE, #DFCEBA"
